task_id,arm,seed,epoch,train_loss,val_loss,curved_parent_mse,planar_parent_mse,edge_parent_mse,entropy_perplexity,coverage,unique_bins,lr,lr_after_scheduler,preclip_grad_norm,grad_clip_was_effective,train_batches,finite_train_batches,skipped_train_batches,val_batches,finite_val_batches,finite_val_samples,nonfinite_loss_batches,nonfinite_gradient_batches,nonfinite_state_batches,nonfinite_state_audits,nonfinite_val_batches,nonfinite_val_samples,training_state_finite,finite_state_audit_status
continuous_bypass_64d:seed3,continuous_bypass_64d,3,65,0.00014604,0.00058865,0.0013501047070804734,7.507326542363388e-05,0.0002657578714726592,,,,0.00015,0.00015,0.021950995549559593,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,66,0.00015854,0.00055108,0.0013046173850796545,6.356907715165823e-05,0.00023666036077136816,,,,0.00015,0.00015,0.026097958907485008,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,67,0.00017009,0.00063591,0.0014024845641267324,9.811756337339395e-05,0.00030417182496606855,,,,0.00015,0.00015,0.030415162444114685,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,68,0.00017605,0.00060471,0.0013223094043587026,6.479037533232473e-05,0.0002738622289468145,,,,0.00015,7.5e-05,0.028416579589247704,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,69,0.00011955,0.00059205,0.0013919006554719948,4.6757681564735544e-05,0.00024577354104322874,,,,7.5e-05,7.5e-05,0.01467596460133791,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,70,0.00010428,0.00055915,0.0013085230048437988,4.393283340513551e-05,0.00023312019027180042,,,,7.5e-05,7.5e-05,0.013855714350938797,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,71,9.889e-05,0.00056049,0.0013355570045268128,4.479001564947333e-05,0.00023367573269135103,,,,7.5e-05,7.5e-05,0.011902357451617718,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,72,9.644e-05,0.0005479,0.001281215032638611,4.5055192090149215e-05,0.00023085967759900266,,,,7.5e-05,7.5e-05,0.01175028644502163,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,73,9.692e-05,0.00053836,0.0012601251102291957,4.812928985873885e-05,0.00022652899743085637,,,,7.5e-05,7.5e-05,0.010673848912119865,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,74,9.957e-05,0.0005415,0.0012789523209668367,4.309930145839545e-05,0.00022453283328875085,,,,7.5e-05,7.5e-05,0.01534839067608118,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,75,9.787e-05,0.00052112,0.0012180683906101578,4.204122435975164e-05,0.00021549532372036527,,,,7.5e-05,7.5e-05,0.013726999051868916,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,76,0.00011217,0.00054843,0.0012646565276769211,4.588582632301513e-05,0.00022845746773932145,,,,7.5e-05,7.5e-05,0.06255585700273514,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,77,0.00010231,0.00053365,0.001222804881012951,4.644495282576975e-05,0.0002235973208648312,,,,7.5e-05,7.5e-05,0.021943509578704834,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,78,8.918e-05,0.00053635,0.0012262100652984614,4.3997430772547745e-05,0.00022768200133313393,,,,7.5e-05,7.5e-05,0.013800264336168766,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,79,8.726e-05,0.00054043,0.001275175004810597,4.483754518342186e-05,0.0002217202723405001,,,,7.5e-05,7.5e-05,0.012358142994344234,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,80,8.747e-05,0.00053311,0.0012311486483947299,4.2767396036812156e-05,0.00022409022869802217,,,,7.5e-05,7.5e-05,0.011794520542025566,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,81,9.079e-05,0.00053644,0.0012402301064000673,4.145307399497464e-05,0.00022457128691902233,,,,7.5e-05,7.5e-05,0.012985656037926674,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,82,9.49e-05,0.00058366,0.001346149664513454,9.071159376643522e-05,0.0002558779780478771,,,,7.5e-05,7.5e-05,0.02359391190111637,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,83,8.849e-05,0.00052822,0.00121281376340494,4.006927663164496e-05,0.00022210493821060343,,,,7.5e-05,7.5e-05,0.016431787982583046,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,84,8.855e-05,0.00052068,0.0012061256410189503,4.386296669404185e-05,0.00021989382262918485,,,,7.5e-05,7.5e-05,0.01983226090669632,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,85,8.162e-05,0.00052444,0.0012217187443477606,3.954014259213369e-05,0.00021728992171292456,,,,7.5e-05,7.5e-05,0.013153725303709507,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,86,8.073e-05,0.00053969,0.0012437597130580673,4.204413493245451e-05,0.00022655482037123534,,,,7.5e-05,7.5e-05,0.012985380366444588,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,87,9.229e-05,0.00055492,0.001289299321871178,4.374260617742116e-05,0.0002273755818760109,,,,7.5e-05,7.5e-05,0.034432303160429,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,88,9.694e-05,0.00053602,0.0012550147706756431,4.357554430363819e-05,0.00022151352063523353,,,,7.5e-05,7.5e-05,0.0588640496134758,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,89,7.886e-05,0.000535,0.0012451410633300194,3.8375709819895845e-05,0.00022044434542965342,,,,7.5e-05,7.5e-05,0.016144800931215286,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,90,6.938e-05,0.00053469,0.0012367306199850378,3.916636109913343e-05,0.0002180494257788602,,,,7.5e-05,7.5e-05,0.01105450838804245,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,91,6.836e-05,0.0005377,0.0012474794306520439,4.4657860927762636e-05,0.0002261094249873133,,,,7.5e-05,7.5e-05,0.013211160898208618,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,92,6.993e-05,0.00052498,0.0012134095652858285,4.1601267996354204e-05,0.0002180791155254256,,,,7.5e-05,7.5e-05,0.012814783491194248,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,93,7.366e-05,0.0005287,0.0012357259197854395,4.028864118672672e-05,0.00021625105764743068,,,,7.5e-05,3.75e-05,0.014636979438364506,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,94,6.273e-05,0.00052205,0.0012196248755677438,3.74117572395638e-05,0.0002122428121877831,,,,3.75e-05,3.75e-05,0.012398463673889637,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,95,5.585e-05,0.00051719,0.0012126694147063049,3.567897034586413e-05,0.0002101957069737765,,,,3.75e-05,3.75e-05,0.007178296335041523,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,96,5.494e-05,0.00051374,0.0012027709419975686,3.5476296735979434e-05,0.00020763052023644733,,,,3.75e-05,3.75e-05,0.009587365202605724,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,97,5.402e-05,0.00051708,0.0012078042581242085,3.6370694321816166e-05,0.00020950815951866942,,,,3.75e-05,3.75e-05,0.0077756489627063274,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,98,5.517e-05,0.00050906,0.0011781043666996044,3.565125457171111e-05,0.00020775760946169575,,,,3.75e-05,3.75e-05,0.012031443417072296,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed3,continuous_bypass_64d,3,99,5.664e-05,0.00051686,0.0012042093072902732,3.5534722216576e-05,0.00020956471383931318,,,,3.75e-05,3.75e-05,0.008579431101679802,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed4,continuous_bypass_64d,4,0,0.10092372,0.03180595,0.062132904037005075,0.017558763449275646,0.027947336479314137,,,,0.0003,0.0003,4.181735038757324,True,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
continuous_bypass_64d:seed4,continuous_bypass_64d,4,1,0.01371615,0.00795625,0.015567725052702375,0.0022891812455842326,0.0074578754554242175,,,,0.0003,0.0003,0.39535996317863464,False,469,469,0,94,94,12000,0,0,0,0,0,0,True,finite
